text,sector,severity,municipal_corp,date,month,year
Exposed wires at Market Area,electricity,2,KDMC,2024-09-15,9,2024
Public toilet in park dirty in VMC jurisdiction,parks,2,VMC,2024-11-02,11,2024
Dumpster missing lid in NMC jurisdiction,sanitation,0,NMC,2024-03-12,3,2024
Road markings faded on Temple Street in NMC jurisdiction,road,0,NMC,2024-10-16,10,2024
Water meter not working in KDMC jurisdiction,water,0,KDMC,2023-07-13,7,2023
Tap leaking at Ward 3 in WMC jurisdiction,water,0,WMC,2023-12-17,12,2023
Overflowing water tank at Ward 6 in VMC jurisdiction,water,2,VMC,2024-10-14,10,2024
Electrical maintenance overdue in SMC jurisdiction,electricity,1,SMC,2024-04-13,4,2024
Public bins missing in UMC jurisdiction,sanitation,0,UMC,2023-04-20,4,2023
No water supply for 24+ hours,water,2,KMC,2023-06-06,6,2023
Tap leaking at Commercial Complex,water,0,CMC,2023-08-26,8,2023
Water feature malfunction,parks,1,PMC,2023-02-11,2,2023
Garden not watered,parks,0,JMC,2023-05-21,5,2023
Road surface cracks on Park Avenue in UMC jurisdiction,road,0,UMC,2023-07-09,7,2023
Exposed wires at Ward 7,electricity,2,TMC,2023-05-10,5,2023
Exercise equipment broken in CMC jurisdiction,parks,1,CMC,2023-03-02,3,2023
Leaking pipeline near Ward 4,water,1,GMC,2023-09-19,9,2023
Complete blackout in East Zone in CMC jurisdiction,electricity,2,CMC,2023-02-11,2,2023
Street light not working at Market Area in PMC jurisdiction,electricity,1,PMC,2023-07-31,7,2023
Exercise equipment broken,parks,1,DMC,2024-03-23,3,2024
Pothole developing on Garden Street in BMC jurisdiction,road,1,BMC,2023-07-28,7,2023
Dumpster missing lid in LMC jurisdiction,sanitation,0,LMC,2023-08-18,8,2023
Public bins missing in DMC jurisdiction,sanitation,0,DMC,2024-05-06,5,2024
Partial power failure in West Zone,electricity,1,KMC,2024-06-18,6,2024
Street light sensor not working in DMC jurisdiction,electricity,0,DMC,2023-01-21,1,2023
Stray animals in garbage in CMC jurisdiction,sanitation,1,CMC,2023-07-18,7,2023
Garden not watered in JMC jurisdiction,parks,0,JMC,2023-09-04,9,2023
Street light not working at Ward 3 in UMC jurisdiction,electricity,1,UMC,2023-05-21,5,2023
Park closing early,parks,0,MMC,2023-03-16,3,2023
Building completion certificate issue,building,1,KMC,2023-08-12,8,2023
Street light not working at Slum Area in SMC jurisdiction,electricity,1,SMC,2024-07-08,7,2024
Sewage smell in Market Area,sanitation,1,DMC,2023-04-13,4,2023
Street light sensor not working in PMC jurisdiction,electricity,0,PMC,2023-10-09,10,2023
Recycling not being done in BMC jurisdiction,sanitation,0,BMC,2023-08-03,8,2023
Tap leaking at Ward 5 in LMC jurisdiction,water,0,LMC,2023-07-29,7,2023
Dead animal not removed in MMC jurisdiction,sanitation,2,MMC,2023-06-12,6,2023
Sidewalk damaged on Lake Side in UMC jurisdiction,road,1,UMC,2023-06-11,6,2023
Tap leaking at Ward 1 in WMC jurisdiction,water,0,WMC,2023-10-30,10,2023
Complete blackout in Ward 5,electricity,2,CMC,2023-08-24,8,2023
Exposed wires at Residential Colony,electricity,2,UMC,2024-08-17,8,2024
High mast light not working in KDMC jurisdiction,electricity,1,KDMC,2023-03-27,3,2023
Street light sensor not working in JMC jurisdiction,electricity,0,JMC,2023-07-02,7,2023
Voltage fluctuations frequent,electricity,1,KDMC,2024-07-13,7,2024
Stray animals in garbage in KMC jurisdiction,sanitation,1,KMC,2024-11-19,11,2024
Billboard lights causing glare in DMC jurisdiction,electricity,1,DMC,2023-03-20,3,2023
Littering in public park in WMC jurisdiction,sanitation,0,WMC,2024-04-25,4,2024
Tap leaking at Ward 1 in WMC jurisdiction,water,0,WMC,2023-09-09,9,2023
Dumpster missing lid in HMC jurisdiction,sanitation,0,HMC,2024-02-19,2,2024
Drainage system failure during rain,water,2,CMC,2024-07-19,7,2024
Street light timing incorrect in CMC jurisdiction,electricity,0,CMC,2024-09-20,9,2024
Broken park bench at Riverside Park,parks,0,HMC,2023-01-06,1,2023
Sanitation workers strike in AMC jurisdiction,sanitation,2,AMC,2023-09-12,9,2023
Tap leaking at Market Area,water,0,TMC,2023-05-14,5,2023
Construction waste on roadside in CMC jurisdiction,sanitation,1,CMC,2023-09-15,9,2023
Flower beds neglected in VMC jurisdiction,parks,0,VMC,2024-11-22,11,2024
Street light flickering at Ward 3 in CMC jurisdiction,electricity,0,CMC,2023-11-12,11,2023
Public toilet unclean at West Zone in UMC jurisdiction,sanitation,1,UMC,2023-05-18,5,2023
Littering in public park in JMC jurisdiction,sanitation,0,JMC,2024-10-16,10,2024
Grass not maintained,parks,0,CMC,2023-12-30,12,2023
Street light flickering at Ward 7 in CMC jurisdiction,electricity,0,CMC,2023-05-18,5,2023
Minor pothole on Temple Street in MMC jurisdiction,road,0,MMC,2024-09-03,9,2024
Roadside vegetation obstructing view in JMC jurisdiction,road,1,JMC,2024-05-24,5,2024
Drain blockage at Ward 2 in RMC jurisdiction,water,1,RMC,2024-09-10,9,2024
Illegal parking blocking Church Street in CMC jurisdiction,road,1,CMC,2023-08-20,8,2023
Street light sensor not working in TMC jurisdiction,electricity,0,TMC,2024-02-22,2,2024
Recycling not being done in CMC jurisdiction,sanitation,0,CMC,2024-04-07,4,2024
Tap leaking at North Zone in GMC jurisdiction,water,0,GMC,2024-07-02,7,2024
Construction noise after hours in HMC jurisdiction,building,1,HMC,2023-05-12,5,2023
Garbage not collected for 2+ days in CMC jurisdiction,sanitation,2,CMC,2023-07-28,7,2023
Borewell not functioning in TMC jurisdiction,water,1,TMC,2024-04-11,4,2024
Building permit delay in AMC jurisdiction,building,0,AMC,2023-12-15,12,2023
Building maintenance overdue,building,1,WMC,2024-11-03,11,2024
Electrical maintenance overdue in WMC jurisdiction,electricity,1,WMC,2024-06-18,6,2024
High mast light not working in VMC jurisdiction,electricity,1,VMC,2024-08-01,8,2024
Drainage cover broken on road,road,1,NMC,2023-07-14,7,2023
Unauthorized dumping ground,sanitation,2,SMC,2024-03-16,3,2024
Illegal electricity connection in MMC jurisdiction,electricity,2,MMC,2024-07-25,7,2024
Tap leaking at Industrial Area in MMC jurisdiction,water,0,MMC,2023-08-10,8,2023
Medical waste in regular garbage,sanitation,2,TMC,2024-11-10,11,2024
Poor road repair work on Cross Street in WMC jurisdiction,road,1,WMC,2023-05-31,5,2023
Irregular water supply timing,water,1,MMC,2023-08-10,8,2023
Tree branch fallen on road at Ward 2,road,2,NMC,2023-06-18,6,2023
Road hump needs repainting on Office Lane in HMC jurisdiction,road,0,HMC,2024-02-03,2,2024
Exercise equipment broken in CMC jurisdiction,parks,1,CMC,2024-10-04,10,2024
Dumpster missing lid in GMC jurisdiction,sanitation,0,GMC,2024-05-22,5,2024
Voltage fluctuations frequent,electricity,1,DMC,2023-06-14,6,2023
Leaking pipeline near Central Zone,water,1,AMC,2024-02-15,2,2024
Property tax assessment error in LMC jurisdiction,building,0,LMC,2023-12-20,12,2023
Road surface cracks on Park Avenue,road,0,TMC,2024-08-26,8,2024
Composting facility issue in MMC jurisdiction,sanitation,1,MMC,2023-05-02,5,2023
Major road collapse on Park Avenue in VMC jurisdiction,road,2,VMC,2023-06-25,6,2023
Street light flickering at Residential Colony in AMC jurisdiction,electricity,0,AMC,2024-11-06,11,2024
Construction waste on roadside,sanitation,1,AMC,2023-05-23,5,2023
Low water pressure in Middle Class Colony in WMC jurisdiction,water,1,WMC,2024-11-29,11,2024
Power theft suspected in Industrial Area in BMC jurisdiction,electricity,2,BMC,2023-07-03,7,2023
High mast light not working in DMC jurisdiction,electricity,1,DMC,2024-11-03,11,2024
Transformer making noise at Ward 5 in DMC jurisdiction,electricity,1,DMC,2024-08-13,8,2024
Property tax assessment error in UMC jurisdiction,building,0,UMC,2023-01-01,1,2023
Street light timing incorrect in PMC jurisdiction,electricity,0,PMC,2024-07-08,7,2024
Unauthorized dumping ground in GMC jurisdiction,sanitation,2,GMC,2024-06-20,6,2024
Street light sensor not working in RMC jurisdiction,electricity,0,RMC,2024-10-15,10,2024
Road damage after rains on Cross Street in CMC jurisdiction,road,2,CMC,2023-09-24,9,2023
Dumpster missing lid,sanitation,0,UMC,2024-05-09,5,2024
Building material on road in CMC jurisdiction,building,1,CMC,2024-08-26,8,2024
Dumpster missing lid in WMC jurisdiction,sanitation,0,WMC,2024-05-31,5,2024
Sidewalk damaged on Main Street in DMC jurisdiction,road,1,DMC,2024-12-22,12,2024
Bridge approach damaged near Ward 7 in KDMC jurisdiction,road,2,KDMC,2023-04-01,4,2023
Street light timing incorrect in JMC jurisdiction,electricity,0,JMC,2023-06-27,6,2023
Public toilet in park dirty in DMC jurisdiction,parks,2,DMC,2024-03-12,3,2024
Littering in public park,sanitation,0,KDMC,2023-07-01,7,2023
Power theft suspected in Commercial Complex in PMC jurisdiction,electricity,2,PMC,2024-07-28,7,2024
Littering in public park in DMC jurisdiction,sanitation,0,DMC,2023-05-13,5,2023
Exposed wires at Ward 2,electricity,2,MMC,2024-08-20,8,2024
Garbage truck leaking in LMC jurisdiction,sanitation,1,LMC,2023-06-21,6,2023
Dumpster missing lid in WMC jurisdiction,sanitation,0,WMC,2023-05-12,5,2023
Park lights not functioning,electricity,0,KDMC,2023-01-27,1,2023
Illegal parking blocking Lake Side in LMC jurisdiction,road,1,LMC,2023-01-07,1,2023
Walking track damaged in MMC jurisdiction,parks,1,MMC,2023-07-28,7,2023
Park lights not functioning in AMC jurisdiction,electricity,0,AMC,2024-12-24,12,2024
Public tap not working at Ward 2 in KMC jurisdiction,water,0,KMC,2024-09-25,9,2024
Garbage burning in open,sanitation,2,LMC,2024-07-21,7,2024
Road hump needs repainting on Church Street in AMC jurisdiction,road,0,AMC,2023-06-29,6,2023
Recycling not being done,sanitation,0,CMC,2023-01-30,1,2023
Bio-medical waste not disposed properly in CMC jurisdiction,sanitation,2,CMC,2023-08-30,8,2023
Bridge approach damaged near East Zone,road,2,JMC,2024-07-07,7,2024
Public toilet unclean at Commercial Complex in TMC jurisdiction,sanitation,1,TMC,2023-03-13,3,2023
Sidewalk damaged on College Road,road,1,JMC,2024-06-15,6,2024
Public toilet in park dirty in BMC jurisdiction,parks,2,BMC,2023-11-06,11,2023
Public tap not working at South Zone in CMC jurisdiction,water,0,CMC,2023-03-10,3,2023
Bridge approach damaged near Ward 1 in CMC jurisdiction,road,2,CMC,2023-07-23,7,2023
Garbage overflow at Ward 7,sanitation,1,CMC,2024-08-13,8,2024
Park lights not functioning in CMC jurisdiction,electricity,0,CMC,2023-04-28,4,2023
Building cracks noticed in KMC jurisdiction,building,1,KMC,2024-11-20,11,2024
Recycling not being done in NMC jurisdiction,sanitation,0,NMC,2023-12-12,12,2023
Minor pothole on Market Road,road,0,NMC,2023-10-16,10,2023
Street light timing incorrect in KMC jurisdiction,electricity,0,KMC,2024-01-20,1,2024
Sanitation workers strike in SMC jurisdiction,sanitation,2,SMC,2023-10-10,10,2023
Demolition debris not cleared in UMC jurisdiction,building,1,UMC,2023-05-14,5,2023
Public tap not working at Slum Area in SMC jurisdiction,water,0,SMC,2023-06-20,6,2023
Garbage truck leaking in SMC jurisdiction,sanitation,1,SMC,2023-03-02,3,2023
Exposed wires at Commercial Complex,electricity,2,VMC,2024-10-17,10,2024
Tap leaking at West Zone in AMC jurisdiction,water,0,AMC,2023-04-19,4,2023
Roadside vegetation obstructing view in KDMC jurisdiction,road,1,KDMC,2024-06-12,6,2024
Road markings faded on Park Avenue,road,0,SMC,2023-10-22,10,2023
Street light timing incorrect,electricity,0,NMC,2023-06-29,6,2023
Dead animal not removed in MMC jurisdiction,sanitation,2,MMC,2024-08-22,8,2024
Minor pothole on Main Street in DMC jurisdiction,road,0,DMC,2023-09-30,9,2023
Speed breaker damaged on Link Road in LMC jurisdiction,road,1,LMC,2024-11-01,11,2024
Public tap not working at Ward 3 in SMC jurisdiction,water,0,SMC,2023-06-26,6,2023
Unauthorized vendors in park,parks,1,WMC,2024-10-16,10,2024
Speed breaker damaged on Lake Side in LMC jurisdiction,road,1,LMC,2024-07-23,7,2024
Electrical meter issue in AMC jurisdiction,electricity,0,AMC,2023-08-04,8,2023
Tap leaking at Market Area,water,0,GMC,2024-11-07,11,2024
Public bins missing,sanitation,0,WMC,2023-04-25,4,2023
Road surface cracks on College Road,road,0,RMC,2024-06-03,6,2024
Illegal construction at West Zone in DMC jurisdiction,building,2,DMC,2023-12-30,12,2023
No water supply for 24+ hours in MMC jurisdiction,water,2,MMC,2023-05-09,5,2023
Road surface cracks on Hill Road in PMC jurisdiction,road,0,PMC,2024-09-06,9,2024
Broken park bench at Rose Garden in SMC jurisdiction,parks,0,SMC,2024-06-07,6,2024
Dead animal not removed,sanitation,2,KDMC,2024-08-31,8,2024
Garbage overflow at Residential Colony in UMC jurisdiction,sanitation,1,UMC,2024-07-18,7,2024
Public bins missing in CMC jurisdiction,sanitation,0,CMC,2024-07-16,7,2024
Construction noise after hours in NMC jurisdiction,building,1,NMC,2024-08-25,8,2024
Minor pothole on Lake Side in DMC jurisdiction,road,0,DMC,2023-03-05,3,2023
Emergency lights not working in UMC jurisdiction,electricity,2,UMC,2024-03-07,3,2024
Irregular water supply timing in KMC jurisdiction,water,1,KMC,2023-09-24,9,2023
Major road collapse on MG Road,road,2,GMC,2023-11-15,11,2023
Drainage system failure during rain in TMC jurisdiction,water,2,TMC,2023-07-11,7,2023
Road hump needs repainting on School Road in LMC jurisdiction,road,0,LMC,2024-04-30,4,2024
Road hump needs repainting on MG Road in KDMC jurisdiction,road,0,KDMC,2023-07-01,7,2023
Building permit delay in UMC jurisdiction,building,0,UMC,2024-08-25,8,2024
Drain blockage at Ward 7,water,1,UMC,2023-06-27,6,2023
Roadside vegetation obstructing view in SMC jurisdiction,road,1,SMC,2024-03-16,3,2024
Street light not working at Industrial Area in UMC jurisdiction,electricity,1,UMC,2024-10-12,10,2024
Stray animals in garbage,sanitation,1,GMC,2023-10-02,10,2023
Stray animals in garbage in NMC jurisdiction,sanitation,1,NMC,2024-04-23,4,2024
Littering in public park in AMC jurisdiction,sanitation,0,AMC,2024-07-22,7,2024
Recycling not being done,sanitation,0,VMC,2023-09-19,9,2023
Recycling not being done in WMC jurisdiction,sanitation,0,WMC,2024-07-12,7,2024
Construction debris on Nehru Marg,road,1,SMC,2023-01-13,1,2023
Voltage fluctuations frequent in KDMC jurisdiction,electricity,1,KDMC,2023-06-26,6,2023
Water bill discrepancy for West Zone in RMC jurisdiction,water,1,RMC,2024-06-28,6,2024
Electrical maintenance overdue in KDMC jurisdiction,electricity,1,KDMC,2023-08-11,8,2023
Recycling not being done in JMC jurisdiction,sanitation,0,JMC,2023-05-07,5,2023
Voltage fluctuations frequent,electricity,1,GMC,2024-08-04,8,2024
Unauthorized dumping ground,sanitation,2,PMC,2024-11-28,11,2024
Road surface cracks on College Road in CMC jurisdiction,road,0,CMC,2024-06-17,6,2024
Street light flickering at Ward 2,electricity,0,KMC,2023-01-16,1,2023
Road hump needs repainting on Garden Street in KDMC jurisdiction,road,0,KDMC,2023-04-28,4,2023
Traffic signal not working at Residential Colony in WMC jurisdiction,road,2,WMC,2024-07-14,7,2024
Construction noise after hours in LMC jurisdiction,building,1,LMC,2024-12-06,12,2024
Drainage system failure during rain in VMC jurisdiction,water,2,VMC,2023-03-17,3,2023
Building permit delay,building,0,NMC,2024-07-08,7,2024
No water supply for 24+ hours,water,2,CMC,2024-04-25,4,2024
High mast light not working in UMC jurisdiction,electricity,1,UMC,2024-07-15,7,2024
Voltage fluctuations frequent in CMC jurisdiction,electricity,1,CMC,2024-09-13,9,2024
Street light not working at Central Zone,electricity,1,RMC,2024-03-15,3,2024
Park lights not functioning in LMC jurisdiction,electricity,0,LMC,2024-08-31,8,2024
Public bins missing in NMC jurisdiction,sanitation,0,NMC,2023-03-18,3,2023
Tap leaking at Ward 6 in GMC jurisdiction,water,0,GMC,2024-05-03,5,2024
Power cut during office hours in GMC jurisdiction,electricity,1,GMC,2023-05-16,5,2023
Electrical maintenance overdue,electricity,1,RMC,2023-02-16,2,2023
Street light sensor not working in AMC jurisdiction,electricity,0,AMC,2023-10-14,10,2023
Sidewalk damaged on Station Road in HMC jurisdiction,road,1,HMC,2024-04-08,4,2024
Emergency lights not working in PMC jurisdiction,electricity,2,PMC,2023-11-19,11,2023
Waterlogging on Garden Street during rain in RMC jurisdiction,road,2,RMC,2024-08-06,8,2024
Construction debris on MG Road in MMC jurisdiction,road,1,MMC,2024-05-10,5,2024
Roadside vegetation obstructing view in CMC jurisdiction,road,1,CMC,2024-07-22,7,2024
Large dangerous pothole on Link Road causing accidents in KDMC jurisdiction,road,2,KDMC,2023-06-07,6,2023
Transformer making noise at Ward 3 in SMC jurisdiction,electricity,1,SMC,2023-10-31,10,2023
Public toilet in park dirty in RMC jurisdiction,parks,2,RMC,2023-09-05,9,2023
Water feature malfunction,parks,1,BMC,2024-07-12,7,2024
Sewage smell in West Zone,sanitation,1,CMC,2024-07-08,7,2024
Public event damage not repaired in VMC jurisdiction,parks,1,VMC,2023-12-10,12,2023
Drain blockage at Ward 1 in AMC jurisdiction,water,1,AMC,2024-09-27,9,2024
No water supply for 24+ hours in CMC jurisdiction,water,2,CMC,2024-09-24,9,2024
Tap leaking at Industrial Area,water,0,DMC,2023-05-13,5,2023
Power theft suspected in Central Zone in CMC jurisdiction,electricity,2,CMC,2023-08-25,8,2023
Dumpster missing lid,sanitation,0,VMC,2024-09-28,9,2024
Irregular water supply timing in CMC jurisdiction,water,1,CMC,2023-12-23,12,2023
Public toilet in park dirty,parks,2,JMC,2024-01-03,1,2024
Medical waste in regular garbage in CMC jurisdiction,sanitation,2,CMC,2024-01-06,1,2024
Road markings faded on Link Road in VMC jurisdiction,road,0,VMC,2024-02-05,2,2024
Pothole developing on Station Road in AMC jurisdiction,road,1,AMC,2024-08-09,8,2024
Stagnant water causing mosquito breeding,water,1,LMC,2024-07-30,7,2024
Building material on road in CMC jurisdiction,building,1,CMC,2024-08-30,8,2024
Littering in public park in VMC jurisdiction,sanitation,0,VMC,2023-09-04,9,2023
Pothole developing on Office Lane in LMC jurisdiction,road,1,LMC,2024-03-31,3,2024
Power theft suspected in Central Zone in TMC jurisdiction,electricity,2,TMC,2024-03-20,3,2024
Dead animal not removed,sanitation,2,KMC,2024-05-03,5,2024
Illegal parking blocking Temple Street in WMC jurisdiction,road,1,WMC,2023-08-23,8,2023
Grass not maintained in PMC jurisdiction,parks,0,PMC,2023-07-18,7,2023
Water meter not working,water,0,BMC,2024-09-01,9,2024
Garbage truck leaking in DMC jurisdiction,sanitation,1,DMC,2024-09-14,9,2024
Building completion certificate issue in HMC jurisdiction,building,1,HMC,2023-01-30,1,2023
Construction waste on roadside in GMC jurisdiction,sanitation,1,GMC,2024-02-06,2,2024
Complete blackout in Market Area in CMC jurisdiction,electricity,2,CMC,2024-05-28,5,2024
Drainage system failure during rain in MMC jurisdiction,water,2,MMC,2023-02-11,2,2023
Garbage burning in open in KDMC jurisdiction,sanitation,2,KDMC,2023-03-03,3,2023
Public tap not working at Ward 7,water,0,NMC,2024-08-04,8,2024
Sidewalk damaged on Garden Street in VMC jurisdiction,road,1,VMC,2023-06-22,6,2023
No water supply for 24+ hours,water,2,KDMC,2023-09-19,9,2023
Transformer making noise at East Zone,electricity,1,MMC,2024-12-29,12,2024
Speed breaker damaged on Hill Road,road,1,KDMC,2024-06-25,6,2024
Recycling not being done in JMC jurisdiction,sanitation,0,JMC,2023-09-03,9,2023
Overflowing water tank at West Zone in MMC jurisdiction,water,2,MMC,2023-07-01,7,2023
Pipeline repair work incomplete in NMC jurisdiction,water,1,NMC,2023-09-03,9,2023
Low water pressure in West Zone in NMC jurisdiction,water,1,NMC,2024-08-20,8,2024
Missing manhole cover on Nehru Marg in LMC jurisdiction,road,2,LMC,2024-04-13,4,2024
Transformer making noise at Ward 5,electricity,1,RMC,2023-03-23,3,2023
Electrical meter issue in UMC jurisdiction,electricity,0,UMC,2023-08-03,8,2023
Public toilet in park dirty,parks,2,TMC,2023-06-01,6,2023
Borewell not functioning in CMC jurisdiction,water,1,CMC,2023-11-28,11,2023
Bio-medical waste not disposed properly in UMC jurisdiction,sanitation,2,UMC,2024-01-12,1,2024
Complete blackout in Ward 5 in BMC jurisdiction,electricity,2,BMC,2024-11-29,11,2024
Tap leaking at Ward 1 in VMC jurisdiction,water,0,VMC,2023-07-10,7,2023
Recycling not being done,sanitation,0,WMC,2024-09-09,9,2024
Drainage cover broken on road,road,1,DMC,2023-08-19,8,2023
Garbage burning in open,sanitation,2,DMC,2023-09-26,9,2023
Stagnant water causing mosquito breeding in CMC jurisdiction,water,1,CMC,2023-09-26,9,2023
Minor pothole on Station Road,road,0,CMC,2024-11-06,11,2024
Road damage after rains on Park Avenue in GMC jurisdiction,road,2,GMC,2024-11-20,11,2024
Public tap not working at Residential Colony in KDMC jurisdiction,water,0,KDMC,2023-08-05,8,2023
Street light not working at Slum Area,electricity,1,AMC,2023-05-21,5,2023
Road damage after rains on Office Lane,road,2,TMC,2024-05-23,5,2024
Littering in public park,sanitation,0,NMC,2024-08-08,8,2024
Garbage burning in open in WMC jurisdiction,sanitation,2,WMC,2024-08-03,8,2024
Pipeline repair work incomplete in HMC jurisdiction,water,1,HMC,2023-06-18,6,2023
Public bins missing in JMC jurisdiction,sanitation,0,JMC,2024-03-06,3,2024
Unauthorized dumping ground in CMC jurisdiction,sanitation,2,CMC,2024-09-09,9,2024
Electrical maintenance overdue in NMC jurisdiction,electricity,1,NMC,2023-02-21,2,2023
Water bill discrepancy for Ward 3 in LMC jurisdiction,water,1,LMC,2023-07-26,7,2023
Water bill discrepancy for South Zone in BMC jurisdiction,water,1,BMC,2024-02-21,2,2024
Complete blackout in Ward 4,electricity,2,LMC,2024-08-02,8,2024
Littering in public park in RMC jurisdiction,sanitation,0,RMC,2023-06-14,6,2023
Construction waste on roadside,sanitation,1,SMC,2024-09-20,9,2024
Emergency lights not working in CMC jurisdiction,electricity,2,CMC,2024-02-07,2,2024
Street light timing incorrect,electricity,0,WMC,2023-09-22,9,2023
Construction safety violation in LMC jurisdiction,building,2,LMC,2023-06-27,6,2023
Electrical meter issue,electricity,0,JMC,2024-06-15,6,2024
Stagnant water causing mosquito breeding in MMC jurisdiction,water,1,MMC,2024-08-22,8,2024
Littering in public park in TMC jurisdiction,sanitation,0,TMC,2024-08-03,8,2024
Overflowing water tank at Commercial Complex in KMC jurisdiction,water,2,KMC,2023-01-29,1,2023
Construction waste on roadside in KMC jurisdiction,sanitation,1,KMC,2024-04-17,4,2024
Borewell not functioning in WMC jurisdiction,water,1,WMC,2024-08-19,8,2024
Power theft suspected in Central Zone in GMC jurisdiction,electricity,2,GMC,2023-07-13,7,2023
Irregular water supply timing in KDMC jurisdiction,water,1,KDMC,2024-07-09,7,2024
Road hump needs repainting on Service Road in NMC jurisdiction,road,0,NMC,2024-02-21,2,2024
Water pipe burst at Middle Class Colony causing flooding,water,2,TMC,2024-10-28,10,2024
Public bins missing,sanitation,0,GMC,2023-02-21,2,2023
Water meter not working,water,0,LMC,2023-06-13,6,2023
Waterlogging on MG Road during rain in WMC jurisdiction,road,2,WMC,2023-05-18,5,2023
Street light flickering at East Zone in CMC jurisdiction,electricity,0,CMC,2023-07-22,7,2023
Traffic signal not working at Central Zone,road,2,KMC,2023-11-19,11,2023
Drain cleaning overdue in GMC jurisdiction,sanitation,1,GMC,2023-01-30,1,2023
Garbage not collected for 2+ days in KMC jurisdiction,sanitation,2,KMC,2023-10-31,10,2023
Partial power failure in Ward 6 in LMC jurisdiction,electricity,1,LMC,2023-03-28,3,2023
Transformer making noise at Central Zone in SMC jurisdiction,electricity,1,SMC,2024-09-26,9,2024
Littering in public park in JMC jurisdiction,sanitation,0,JMC,2023-06-26,6,2023
Public toilet in park dirty in GMC jurisdiction,parks,2,GMC,2024-04-10,4,2024
Dumpster missing lid in NMC jurisdiction,sanitation,0,NMC,2023-01-19,1,2023
Stray animals in garbage in WMC jurisdiction,sanitation,1,WMC,2024-04-20,4,2024
Drain blockage at South Zone in CMC jurisdiction,water,1,CMC,2023-10-02,10,2023
Fountain not working,parks,1,AMC,2024-08-03,8,2024
Water supply contaminated with sewage in RMC jurisdiction,water,2,RMC,2024-09-11,9,2024
Public toilet unclean at Commercial Complex in AMC jurisdiction,sanitation,1,AMC,2023-03-15,3,2023
Public toilet in park dirty in MMC jurisdiction,parks,2,MMC,2024-08-28,8,2024
Illegal parking blocking Station Road in WMC jurisdiction,road,1,WMC,2024-01-22,1,2024
Stray animals in garbage in TMC jurisdiction,sanitation,1,TMC,2023-07-29,7,2023
Pothole developing on Link Road in BMC jurisdiction,road,1,BMC,2023-08-18,8,2023
Water bill discrepancy for North Zone,water,1,VMC,2024-11-20,11,2024
Public bins missing in HMC jurisdiction,sanitation,0,HMC,2024-06-21,6,2024
Recycling not being done in MMC jurisdiction,sanitation,0,MMC,2024-11-05,11,2024
Transformer making noise at Ward 6 in MMC jurisdiction,electricity,1,MMC,2023-07-07,7,2023
Dumpster missing lid in AMC jurisdiction,sanitation,0,AMC,2023-04-26,4,2023
Partial power failure in Ward 3 in CMC jurisdiction,electricity,1,CMC,2024-09-21,9,2024
Garbage truck leaking in WMC jurisdiction,sanitation,1,WMC,2024-06-23,6,2024
Pothole developing on Main Street in PMC jurisdiction,road,1,PMC,2024-03-18,3,2024
Pothole developing on Main Street in AMC jurisdiction,road,1,AMC,2023-07-21,7,2023
Street light timing incorrect,electricity,0,VMC,2023-01-04,1,2023
Waterlogging on Hospital Lane during rain,road,2,GMC,2024-07-17,7,2024
Occupancy certificate delay,building,1,AMC,2024-09-22,9,2024
Property tax assessment error in HMC jurisdiction,building,0,HMC,2023-07-28,7,2023
Construction safety violation in VMC jurisdiction,building,2,VMC,2023-04-18,4,2023
Drain blockage at Ward 1 in RMC jurisdiction,water,1,RMC,2024-07-05,7,2024
Building permit delay in HMC jurisdiction,building,0,HMC,2024-08-30,8,2024
Stagnant water causing mosquito breeding in AMC jurisdiction,water,1,AMC,2023-04-07,4,2023
Public tap not working at Commercial Complex,water,0,HMC,2023-06-16,6,2023
Transformer making noise at Market Area in DMC jurisdiction,electricity,1,DMC,2023-11-08,11,2023
Low water pressure in Middle Class Colony in DMC jurisdiction,water,1,DMC,2024-09-01,9,2024
Stray animals in garbage in UMC jurisdiction,sanitation,1,UMC,2024-08-07,8,2024
Water supply contaminated with sewage,water,2,CMC,2023-04-26,4,2023
Bridge approach damaged near Ward 7 in HMC jurisdiction,road,2,HMC,2024-08-18,8,2024
Emergency lights not working in NMC jurisdiction,electricity,2,NMC,2023-01-29,1,2023
Water supply contaminated with sewage,water,2,AMC,2023-01-11,1,2023
Major road collapse on River View in BMC jurisdiction,road,2,BMC,2024-04-14,4,2024
Tap leaking at Middle Class Colony,water,0,SMC,2024-08-09,8,2024
Public toilet in park dirty in JMC jurisdiction,parks,2,JMC,2024-07-07,7,2024
Partial power failure in Middle Class Colony in GMC jurisdiction,electricity,1,GMC,2023-08-31,8,2023
Play equipment damaged in RMC jurisdiction,parks,1,RMC,2023-08-06,8,2023
Irregular water supply timing in VMC jurisdiction,water,1,VMC,2024-09-02,9,2024
Public bins missing in CMC jurisdiction,sanitation,0,CMC,2024-12-05,12,2024
Tree branch fallen on road at Ward 5 in NMC jurisdiction,road,2,NMC,2023-02-14,2,2023
Public tap not working at Residential Colony,water,0,MMC,2024-01-19,1,2024
Water treatment plant issue in GMC jurisdiction,water,2,GMC,2024-02-03,2,2024
Garbage overflow at Slum Area,sanitation,1,JMC,2023-05-21,5,2023
Littering in public park in AMC jurisdiction,sanitation,0,AMC,2023-09-13,9,2023
Sanitation workers strike in KDMC jurisdiction,sanitation,2,KDMC,2024-10-17,10,2024
